Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
400 Greenway View Dr,Chattanooga,TN,37411,4/9/2024 12:30,TN0330100,C3,Charlie S,35A,Drug/Narcotic Violations,Part 1 Crimes,24-031614,3,Pending/Possible Leads,35.01055,,-85.204969,POINT (-85.204969 35.01055),6
4300 Kemp Dr,Chattanooga,TN,37411,4/9/2024 12:30,TN0330100,C2,Charlie S,91Z,Miscellaneous Information,,24-031601,3,Pending/Possible Leads,35.028212,Shawnee Hills,-85.233711,POINT (-85.233711 35.028212),5
800 S Willow St,Chattanooga,TN,37404,4/9/2024 12:42,TN0330100,B5,Baker S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,24-031603,3,Pending/Possible Leads,35.029951000000004,Highland Park,-85.274656,POINT (-85.274656 35.029951),9
400 Greenway View Dr,Chattanooga,TN,37411,4/9/2024 12:43,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,24-031608,2,Cleared by Arrest,35.007807,,-85.205467,POINT (-85.205467 35.007807),6
400 Greenway View Dr,Chattanooga,TN,37411,4/9/2024 12:43,TN0330100,C3,Charlie S,35B,Drug Equipment Violations,Part 1 Crimes,24-031608,2,Cleared by Arrest,35.008638000000005,,-85.204977,POINT (-85.204977 35.008638),6
400 Greenway View Dr,Chattanooga,TN,37411,4/9/2024 12:43,TN0330100,C3,Charlie S,91Z,Serving Warrant,,24-031619,2,Cleared by Arrest,35.008284,,-85.206026,POINT (-85.206026 35.008284),6
5700 Highway 153,Chattanooga,TN,37343,4/9/2024 13:05,TN0330100,A1,Adam N,91Z,Damaged Property Accidental,,24-031613,3,Pending/Possible Leads,35.154107,,-85.247848,POINT (-85.247848 35.154107),3
3600 Calhoun Ave,Chattanooga,TN,37407,4/9/2024 13:07,TN0330100,B7,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,24-031611,4,Inactive/Suspended,35.000972000000004,Clifton Hills,-85.292403,POINT (-85.292403 35.000972),7
900 W 37th St,Chattanooga,TN,37410,4/9/2024 13:10,TN0330100,A11,Adam S,91Z,Miscellaneous Information,,24-031643,3,Pending/Possible Leads,35.010522,,-85.318327,POINT (-85.318327 35.010522),7
2700 Citico Ave,Chattanooga,TN,37406,4/9/2024 13:22,TN0330100,B3,Baker N,91Z,Miscellaneous Information,,24-031616,3,Pending/Possible Leads,35.042331,Glenwood,-85.256903,POINT (-85.256903 35.042331),9
5200 Highway 153,Chattanooga,TN,37343,4/9/2024 13:30,TN0330100,A2,Adam N,91Z,Property Lost,,24-031623,3,Pending/Possible Leads,35.123993,,-85.239893,POINT (-85.239893 35.123993),3
400 W Martin Luther King Blvd,Chattanooga,TN,37402,4/9/2024 13:40,TN0330100,A6,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,24-031621,3,Pending/Possible Leads,35.046478,,-85.317698,POINT (-85.317698 35.046478),7
